#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
type;url;string;string;string
lang;;seda;seda-02;en
url;skos:Concept;skos:prefLabel;skos:prefLabel;skos:prefLabel
;;yob;XXX;Yoba
;;bqy;XXX;Bengkala Sign Language
;;nuv;XXX;Northern Nuni
;;quy;XXX;Ayacucho Quechua
;;biz;XXX;Baloi
;;bcn;XXX;Bali (Nigeria)
;;pmz;XXX;Southern Pame
;;vwa;XXX;Awa (China)
;;buj;XXX;Basa-Gurmana
;;yli;XXX;Angguruk Yali
;;bzc;XXX;Southern Betsimisaraka Malagasy
;;aua;XXX;Asumboa
;;vec;XXX;Venetian
;;mwg;XXX;Aiklep
;;mmm;XXX;Maii
;;ita;XXX;Italian
;;sod;XXX;Songoora
;;twt;XXX;Turiwára
;;gke;XXX;Ndai
;;bth;XXX;Biatah Bidayuh
;;tou;XXX;Tho
;;ewe;XXX;Ewe
;;cic;XXX;Chickasaw
;;bdv;XXX;Bodo Parja
;;ktz;XXX;Ju/'hoan
;;ndt;XXX;Ndunga
;;hke;XXX;Hunde
;;ncc;XXX;Ponam
;;jad;XXX;Jahanka
;;sua;XXX;Sulka
;;yva;XXX;Yawa
;;kkm;XXX;Kiong
;;bbx;XXX;Bubia
;;nml;XXX;Ndemli
;;mqh;XXX;Tlazoyaltepec Mixtec
;;lrz;XXX;Lemerig
;;krk;XXX;Kerek
;;dlg;XXX;Dolgan
;;igb;XXX;Ebira
;;bhy;XXX;Bhele
;;arn;XXX;Mapudungun
;;amn;XXX;Amanab
;;hka;XXX;Kahe
;;msg;XXX;Moraid
;;dln;XXX;Darlong
;;bay;XXX;Batuley
;;vel;XXX;Veluws
;;kfj;XXX;Kemiehua
;;wrh;XXX;Wiradhuri
;;tmj;XXX;Samarokena
;;sbl;XXX;Botolan Sambal
;;can;XXX;Chambri
;;kqq;XXX;Krenak
;;dws;XXX;Dutton World Speedwords
;;cmo;XXX;Central Mnong
;;buc;XXX;Bushi
;;pab;XXX;Parecís
;;kfd;XXX;Korra Koraga
;;chx;XXX;Chantyal
;;bea;XXX;Beaver
;;juu;XXX;Ju
;;tjo;XXX;Temacine Tamazight
;;xsq;XXX;Makhuwa-Saka
;;mrf;XXX;Elseng
;;ltn;XXX;Latundê
;;faa;XXX;Fasu
;;bks;XXX;Northern Sorsoganon
;;nru;XXX;Narua
;;ttq;XXX;Tawallammat Tamajaq
;;isl;XXX;Icelandic
;;bll;XXX;Biloxi
;;arc;XXX;Official Aramaic (700-300 BCE)
;;mpu;XXX;Makuráp
;;juw;XXX;Wãpha
;;vmy;XXX;Ayautla Mazatec
;;pmb;XXX;Pambia
;;myc;XXX;Mayeka
;;msk;XXX;Mansaka
;;pns;XXX;Ponosakan
;;maa;XXX;San Jerónimo Tecóatl Mazatec
;;hio;XXX;Tsoa
;;kac;XXX;Kachin
;;wiw;XXX;Wirangu
;;sax;XXX;Sa
;;klw;XXX;Lindu
;;lmz;XXX;Lumbee
;;tcu;XXX;Southeastern Tarahumara
;;ats;XXX;Gros Ventre
;;ngc;XXX;Ngombe (Democratic Republic of Congo)
;;pmx;XXX;Poumei Naga
;;kla;XXX;Klamath-Modoc
;;clm;XXX;Clallam
;;qvs;XXX;San Martín Quechua
;;jum;XXX;Jumjum
;;miq;XXX;Mískito
;;lmq;XXX;Lamatuka
;;pcb;XXX;Pear
;;swm;XXX;Samosa
;;ron;XXX;Romanian
;;hpo;XXX;Hpon
;;tnc;XXX;Tanimuca-Retuarã
;;kmw;XXX;Komo (Democratic Republic of Congo)
;;tsd;XXX;Tsakonian
;;osu;XXX;Southern One
;;nrz;XXX;Lala
;;ssn;XXX;Waata
;;eja;XXX;Ejamat
;;atj;XXX;Atikamekw
;;yuu;XXX;Yugh
;;frq;XXX;Forak
;;bif;XXX;Biafada
;;ylm;XXX;Limi
;;ngy;XXX;Tibea
;;wra;XXX;Warapu
;;kgb;XXX;Kawe
;;ota;XXX;Ottoman Turkish (1500-1928)
;;oos;XXX;Old Ossetic
;;liy;XXX;Banda-Bambari
;;xal;XXX;Kalmyk
;;kbb;XXX;Kaxuiâna
;;mxv;XXX;Metlatónoc Mixtec
;;gei;XXX;Gebe
;;avb;XXX;Avau
;;xsy;XXX;Saisiyat
;;tpo;XXX;Tai Pao
;;mkq;XXX;Bay Miwok
;;nju;XXX;Ngadjunmaya
;;lut;XXX;Lushootseed
;;tiu;XXX;Adasen
;;koo;XXX;Konzo
;;adg;XXX;Andegerebinha
;;muq;XXX;Eastern Xiangxi Miao
;;kdt;XXX;Kuy
;;bdk;XXX;Budukh
;;mph;XXX;Maung
;;ran;XXX;Riantana
;;wne;XXX;Waneci
;;bux;XXX;Boghom
;;mgs;XXX;Manda (Tanzania)
;;pci;XXX;Duruwa
;;byg;XXX;Baygo
;;kul;XXX;Kulere
;;bha;XXX;Bharia
;;siu;XXX;Sinagen
;;qwh;XXX;Huaylas Ancash Quechua
;;khk;XXX;Halh Mongolian
;;wrx;XXX;Wae Rana
;;tuh;XXX;Taulil
;;dmo;XXX;Kemezung
;;twy;XXX;Tawoyan
;;rri;XXX;Ririo
;;onj;XXX;Onjob
;;yah;XXX;Yazgulyam
;;acs;XXX;Acroá
;;msu;XXX;Musom
;;rwa;XXX;Rawo
;;bwd;XXX;Bwaidoka
;;bmi;XXX;Bagirmi
;;bsf;XXX;Bauchi
;;tdi;XXX;Tomadino
;;prs;XXX;Dari
;;mzc;XXX;Madagascar Sign Language
;;awh;XXX;Awbono
;;plk;XXX;Kohistani Shina
;;ktv;XXX;Eastern Katu
;;yso;XXX;Nisi (China)
;;ybh;XXX;Yakha
;;qwm;XXX;Kuman (Russia)
;;kvh;XXX;Komodo
;;bhg;XXX;Binandere
;;nar;XXX;Iguta
;;blc;XXX;Bella Coola
;;ldl;XXX;Kaan
;;tlt;XXX;Teluti
;;peg;XXX;Pengo
;;nli;XXX;Grangali
;;waz;XXX;Wampur
;;vut;XXX;Vute
;;sxw;XXX;Saxwe Gbe
;;rjg;XXX;Rajong
;;zeg;XXX;Zenag
;;mpl;XXX;Middle Watut
;;mgl;XXX;Maleu-Kilenge
;;mmd;XXX;Maonan
;;kbq;XXX;Kamano
;;tna;XXX;Tacana
;;omn;XXX;Minoan
;;bpz;XXX;Bilba
;;uha;XXX;Uhami
;;xet;XXX;Xetá
;;slh;XXX;Southern Puget Sound Salish
;;gup;XXX;Gunwinggu
;;jow;XXX;Jowulu
;;apg;XXX;Ampanang
;;mbs;XXX;Sarangani Manobo
;;kxk;XXX;Zayein Karen
;;pel;XXX;Pekal
;;mvy;XXX;Indus Kohistani
;;yra;XXX;Yerakai
;;sdj;XXX;Suundi
;;mza;XXX;Santa María Zacatepec Mixtec
;;kpz;XXX;Kupsabiny
