#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
type;url;string;string;string
;;ybd;XXX;Yangbye
;;kfr;XXX;Kachchi
;;gqa;XXX;Ga'anda
;;win;XXX;Ho-Chunk
;;azg;XXX;San Pedro Amuzgos Amuzgo
;;ayk;XXX;Akuku
;;xks;XXX;Kumbewaha
;;sng;XXX;Sanga (Democratic Republic of Congo)
;;asj;XXX;Nsari
;;snn;XXX;Siona
;;nmx;XXX;Nama (Papua New Guinea)
;;afr;XXX;Afrikaans
;;ide;XXX;Idere
;;ctz;XXX;Zacatepec Chatino
;;bzj;XXX;Belize Kriol English
;;snv;XXX;Sa'ban
;;kyj;XXX;Karao
;;tzm;XXX;Central Atlas Tamazight
;;sac;XXX;Meskwaki
;;ibm;XXX;Agoi
;;xkh;XXX;Karahawyana
;;obi;XXX;Obispeño
;;lgq;XXX;Logba
;;lec;XXX;Leco
;;qug;XXX;Chimborazo Highland Quichua
;;wut;XXX;Wutung
;;ntz;XXX;Natanzi
;;gwg;XXX;Moo
;;scu;XXX;Shumcho
;;lol;XXX;Mongo
;;alp;XXX;Alune
;;hed;XXX;Herdé
;;ayt;XXX;Magbukun Ayta
;;msy;XXX;Aruamu
;;axb;XXX;Abipon
;;los;XXX;Loniu
;;dhm;XXX;Zemba
;;tyv;XXX;Tuvinian
;;etz;XXX;Semimi
;;csa;XXX;Chiltepec Chinantec
;;urg;XXX;Urigina
;;bnz;XXX;Beezen
;;oav;XXX;Old Avar
;;bns;XXX;Bundeli
;;qxa;XXX;Chiquián Ancash Quechua
;;faj;XXX;Faita
;;mvm;XXX;Muya
;;hmb;XXX;Humburi Senni Songhay
;;sbp;XXX;Sangu (Tanzania)
;;kfa;XXX;Kodava
;;bvi;XXX;Belanda Viri
;;tbz;XXX;Ditammari
;;ztg;XXX;Xanaguía Zapotec
;;akf;XXX;Akpa
;;shr;XXX;Shi
;;njn;XXX;Liangmai Naga
;;twc;XXX;Teshenawa
;;srg;XXX;Sulod
;;mrk;XXX;Hmwaveke
;;saq;XXX;Samburu
;;lmg;XXX;Lamogai
;;pil;XXX;Yom
;;urn;XXX;Uruangnirin
;;zun;XXX;Zuni
;;esm;XXX;Esuma
;;aok;XXX;Arhö
;;zkb;XXX;Koibal
;;cnk;XXX;Khumi Chin
;;and;XXX;Ansus
;;maz;XXX;Central Mazahua
;;kjs;XXX;East Kewa
;;cua;XXX;Cua
;;nfd;XXX;Ahwai
;;hov;XXX;Hovongan
;;osi;XXX;Osing
;;wem;XXX;Weme Gbe
;;biq;XXX;Bipi
;;kqg;XXX;Khe
;;nhy;XXX;Northern Oaxaca Nahuatl
;;ngr;XXX;Nanggu
;;vmz;XXX;Mazatlán Mazatec
;;yds;XXX;Yiddish Sign Language
;;knp;XXX;Kwanja
;;sci;XXX;Sri Lankan Creole Malay
;;cwb;XXX;Maindo
;;eee;XXX;E
;;buq;XXX;Brem
;;slw;XXX;Sialum
;;kgp;XXX;Kaingang
;;omg;XXX;Omagua
;;kip;XXX;Sheshi Kham
;;nzs;XXX;New Zealand Sign Language
;;nbl;XXX;South Ndebele
;;har;XXX;Harari
;;boi;XXX;Barbareño
;;hro;XXX;Haroi
;;nbb;XXX;Ndoe
;;jel;XXX;Yelmek
;;qun;XXX;Quinault
;;lum;XXX;Luimbi
;;hob;XXX;Mari (Madang Province)
;;krt;XXX;Tumari Kanuri
;;xut;XXX;Kuthant
;;wad;XXX;Wandamen
;;rnn;XXX;Roon
;;kzr;XXX;Karang
;;etc;XXX;Etchemin
;;tap;XXX;Taabwa
;;seb;XXX;Shempire Senoufo
;;mym;XXX;Me'en
;;gvr;XXX;Western Gurung
;;kib;XXX;Koalib
;;doc;XXX;Northern Dong
;;tct;XXX;T'en
;;ces;XXX;Czech
;;apj;XXX;Jicarilla Apache
;;zhi;XXX;Zhire
;;tpw;XXX;Tupí
;;lha;XXX;Laha (Viet Nam)
;;kqe;XXX;Kalagan
;;puc;XXX;Punan Merap
;;cnt;XXX;Tepetotutla Chinantec
;;djl;XXX;Djiwarli
;;ney;XXX;Neyo
;;mzx;XXX;Mawayana
;;gmv;XXX;Gamo
;;kht;XXX;Khamti
;;jic;XXX;Tol
;;uar;XXX;Tairuma
;;phh;XXX;Phukha
;;saj;XXX;Sahu
;;plb;XXX;Polonombauk
;;unx;XXX;Munda
;;bjj;XXX;Kanauji
;;dao;XXX;Daai Chin
;;bbf;XXX;Baibai
;;vam;XXX;Vanimo
;;urw;XXX;Sop
;;mdx;XXX;Dizin
;;gaj;XXX;Gadsup
;;rug;XXX;Roviana
;;cad;XXX;Caddo
;;bpd;XXX;Banda-Banda
;;ybx;XXX;Yawiyo
;;kaj;XXX;Jju
;;ilo;XXX;Iloko
;;knf;XXX;Mankanya
;;wbr;XXX;Wagdi
;;tdt;XXX;Tetun Dili
;;sth;XXX;Shelta
;;cbt;XXX;Chayahuita
;;aaw;XXX;Solong
;;zmg;XXX;Marti Ke
;;tof;XXX;Gizrra
;;sgd;XXX;Surigaonon
;;tuv;XXX;Turkana
;;tno;XXX;Toromono
;;twl;XXX;Tawara
;;bfi;XXX;British Sign Language
;;nhu;XXX;Noone
;;iru;XXX;Irula
;;bdf;XXX;Biage
;;mzq;XXX;Mori Atas
;;lsd;XXX;Lishana Deni
;;vis;XXX;Vishavan
;;sqt;XXX;Soqotri
;;omk;XXX;Omok
;;ptu;XXX;Bambam
;;pmi;XXX;Northern Pumi
;;kcc;XXX;Lubila
;;tus;XXX;Tuscarora
;;vum;XXX;Vumbu
;;grq;XXX;Gorovu
;;aqc;XXX;Archi
;;acl;XXX;Akar-Bale
;;lep;XXX;Lepcha
;;tnx;XXX;Tanema
;;grc;XXX;Ancient Greek (to 1453)
;;mfr;XXX;Marithiel
;;lhh;XXX;Laha (Indonesia)
;;dhv;XXX;Dehu
;;mfy;XXX;Mayo
;;nqm;XXX;Ndom
;;bel;XXX;Belarusian
;;bal;XXX;Baluchi
;;tpf;XXX;Tarpia
;;dbm;XXX;Duguri
;;kci;XXX;Kamantan
;;bvb;XXX;Bube
;;lkb;XXX;Kabras
;;wll;XXX;Wali (Sudan)
;;nxi;XXX;Nindi
;;lmp;XXX;Limbum
;;lav;XXX;Latvian
;;thk;XXX;Tharaka
;;hra;XXX;Hrangkhol
;;ims;XXX;Marsian
;;nco;XXX;Sibe
;;laz;XXX;Aribwatsa
;;kke;XXX;Kakabe
;;mrr;XXX;Maria (India)
;;lso;XXX;Laos Sign Language
;;abu;XXX;Abure
;;set;XXX;Sentani
;;kya;XXX;Kwaya
;;kje;XXX;Kisar
;;kcn;XXX;Nubi
;;trn;XXX;Trinitario
;;jig;XXX;Djingili
;;hld;XXX;Halang Doan
;;job;XXX;Joba
;;dme;XXX;Dugwor
;;pis;XXX;Pijin
;;psi;XXX;Southeast Pashayi
;;pbp;XXX;Badyara
;;vie;XXX;Vietnamese
;;syn;XXX;Senaya
;;ike;XXX;Eastern Canadian Inuktitut
;;yzg;XXX;E'ma Buyang
;;tvm;XXX;Tela-Masbuar
;;met;XXX;Mato
;;pby;XXX;Pyu
;;tru;XXX;Turoyo
;;ora;XXX;Oroha
;;ctg;XXX;Chittagonian
;;hik;XXX;Seit-Kaitetu
;;pkn;XXX;Pakanha
;;ors;XXX;Orang Seletar
;;bjy;XXX;Bayali
;;cak;XXX;Kaqchikel
;;zgr;XXX;Magori
;;kpq;XXX;Korupun-Sela
;;rbb;XXX;Rumai Palaung
;;cfm;XXX;Falam Chin
;;wsi;XXX;Wusi
;;taj;XXX;Eastern Tamang
;;ute;XXX;Ute-Southern Paiute
;;nno;XXX;Norwegian Nynorsk
;;amh;XXX;Amharic
;;ccc;XXX;Chamicuro
;;mlr;XXX;Vame
;;hun;XXX;Hungarian
;;aye;XXX;Ayere
;;thv;XXX;Tahaggart Tamahaq
;;grd;XXX;Guruntum-Mbaaru
;;sko;XXX;Seko Tengah
;;rob;XXX;Tae'
;;mln;XXX;Malango
;;elh;XXX;El Hugeirat
;;auj;XXX;Awjilah
;;chn;XXX;Chinook jargon
;;zac;XXX;Ocotlán Zapotec
;;pdu;XXX;Kayan
;;cfa;XXX;Dijim-Bwilim
;;mdm;XXX;Mayogo
;;ccl;XXX;Cutchi-Swahili
;;bdd;XXX;Bunama
;;mmp;XXX;Siawi
;;pey;XXX;Petjo
;;trj;XXX;Toram
;;lid;XXX;Nyindrou
;;bqs;XXX;Bosngun
;;vbb;XXX;Southeast Babar
;;aer;XXX;Eastern Arrernte
;;mpc;XXX;Mangarayi
;;ata;XXX;Pele-Ata
;;rbl;XXX;Miraya Bikol
;;lik;XXX;Lika
;;ifb;XXX;Batad Ifugao
;;rmd;XXX;Traveller Danish
;;ila;XXX;Ile Ape
;;nyh;XXX;Nyigina
;;mby;XXX;Memoni
;;gor;XXX;Gorontalo
;;nyv;XXX;Nyulnyul
;;ndj;XXX;Ndamba
;;bgm;XXX;Baga Mboteni
;;ava;XXX;Avaric
;;zmd;XXX;Maridan
;;wob;XXX;Wè Northern
;;ppu;XXX;Papora
;;xrw;XXX;Karawa
;;spc;XXX;Sapé
;;gha;XXX;Ghadamès
;;tlq;XXX;Tai Loi
;;srl;XXX;Isirawa
;;llq;XXX;Lolak
;;dug;XXX;Duruma
;;okx;XXX;Okpe (Northwestern Edo)
;;xbr;XXX;Kambera
;;ahi;XXX;Tiagbamrin Aizi
;;ghc;XXX;Hiberno-Scottish Gaelic
;;bkm;XXX;Kom (Cameroon)
;;bjx;XXX;Banao Itneg
;;bxm;XXX;Mongolia Buriat
;;pgg;XXX;Pangwali
;;srz;XXX;Shahmirzadi
;;lnu;XXX;Longuda
;;mqq;XXX;Minokok
;;bjs;XXX;Bajan
;;brq;XXX;Breri
;;ttd;XXX;Tauade
;;nty;XXX;Mantsi
;;aca;XXX;Achagua
;;hba;XXX;Hamba
;;hmf;XXX;Hmong Don
;;gix;XXX;Gilima
;;brw;XXX;Bellari
;;mmc;XXX;Michoacán Mazahua
;;yaq;XXX;Yaqui
;;nmi;XXX;Nyam
;;pug;XXX;Phuie
;;ays;XXX;Sorsogon Ayta
;;tcs;XXX;Torres Strait Creole
;;bsy;XXX;Sabah Bisaya
;;wdd;XXX;Wandji
;;txm;XXX;Tomini
;;pks;XXX;Pakistan Sign Language
;;msd;XXX;Yucatec Maya Sign Language
;;siv;XXX;Sumariup
;;hae;XXX;Eastern Oromo
;;zim;XXX;Mesme
;;sih;XXX;Zire
;;ajt;XXX;Judeo-Tunisian Arabic
;;bwk;XXX;Bauwaki
;;leq;XXX;Lembena
;;pho;XXX;Phunoi
;;sow;XXX;Sowanda
;;tkz;XXX;Takua
;;nnw;XXX;Southern Nuni
;;poo;XXX;Central Pomo
;;bsc;XXX;Bassari
;;tbh;XXX;Thurawal
;;mcr;XXX;Menya
;;btm;XXX;Batak Mandailing
;;hts;XXX;Hadza
;;qvm;XXX;Margos-Yarowilca-Lauricocha Quechua
;;nnx;XXX;Ngong
;;wss;XXX;Wasa
;;ssw;XXX;Swati
;;wet;XXX;Perai
;;asu;XXX;Tocantins Asurini
;;bfn;XXX;Bunak
;;mre;XXX;Martha's Vineyard Sign Language
;;dux;XXX;Duungooma
;;aks;XXX;Akaselem
;;xdy;XXX;Malayic Dayak
;;izi;XXX;Izi-Ezaa-Ikwo-Mgbo
;;tke;XXX;Takwane
;;xin;XXX;Xinca
;;xae;XXX;Aequian
;;piv;XXX;Pileni
;;cbi;XXX;Chachi
;;cor;XXX;Cornish
;;dne;XXX;Ndendeule
;;bfb;XXX;Pauri Bareli
;;yol;XXX;Yola
;;gia;XXX;Kitja
;;mci;XXX;Mese
;;seh;XXX;Sena
;;xop;XXX;Kopar
;;nsa;XXX;Sangtam Naga
;;ynu;XXX;Yahuna
;;apd;XXX;Sudanese Arabic
;;vem;XXX;Vemgo-Mabas
;;mbk;XXX;Malol
;;kqt;XXX;Klias River Kadazan
;;mcw;XXX;Mawa (Chad)
;;xoi;XXX;Kominimung
;;oda;XXX;Odut
;;nkg;XXX;Nekgini
;;mjn;XXX;Ma (Papua New Guinea)
;;gvy;XXX;Guyani
;;cku;XXX;Koasati
;;njy;XXX;Njyem
;;jay;XXX;Yan-nhangu
;;woe;XXX;Woleaian
;;ymd;XXX;Muda
;;nex;XXX;Neme
;;ben;XXX;Bengali
;;zax;XXX;Xadani Zapotec
;;brj;XXX;Bieria
;;nxl;XXX;South Nuaulu
;;lkl;XXX;Laeko-Libuat
;;orh;XXX;Oroqen
;;djc;XXX;Dar Daju Daju
;;aix;XXX;Aighon
;;ymi;XXX;Moji
;;bfw;XXX;Bondo
;;kpr;XXX;Korafe-Yegha
;;blb;XXX;Bilua
;;hvn;XXX;Sabu
;;nat;XXX;Hungworo
;;zmm;XXX;Marimanindji
;;srt;XXX;Sauri
;;pnh;XXX;Penrhyn
;;nif;XXX;Nek
;;dju;XXX;Kapriman
;;ynl;XXX;Yangulam
;;xtr;XXX;Early Tripuri
;;skk;XXX;Sok
;;psw;XXX;Port Sandwich
;;boy;XXX;Bodo (Central African Republic)
;;mdf;XXX;Moksha
;;kof;XXX;Kubi
;;hub;XXX;Huambisa
;;mcd;XXX;Sharanahua
;;fod;XXX;Foodo
;;mab;XXX;Yutanduchi Mixtec
;;esl;XXX;Egypt Sign Language
;;kxv;XXX;Kuvi
;;kml;XXX;Lower Tanudan Kalinga
;;ljl;XXX;Li'o
;;mka;XXX;Mbre
;;phw;XXX;Phangduwali
;;stb;XXX;Northern Subanen
;;gcf;XXX;Guadeloupean Creole French
;;bav;XXX;Vengo
;;ahb;XXX;Axamb
;;xcb;XXX;Cumbric
;;xua;XXX;Alu Kurumba
;;num;XXX;Niuafo'ou
;;crb;XXX;Island Carib
;;xes;XXX;Kesawai
;;sjo;XXX;Xibe
;;kqw;XXX;Kandas
;;llh;XXX;Lamu
;;mio;XXX;Pinotepa Nacional Mixtec
;;dta;XXX;Daur
;;kwf;XXX;Kwara'ae
;;mei;XXX;Midob
;;xwe;XXX;Xwela Gbe
;;bqb;XXX;Bagusa
;;gug;XXX;Paraguayan Guaraní
;;btv;XXX;Bateri
;;bon;XXX;Bine
;;szg;XXX;Sengele
;;abn;XXX;Abua
;;avn;XXX;Avatime
;;uwa;XXX;Kuku-Uwanh
;;mxe;XXX;Mele-Fila
;;gar;XXX;Galeya
;;bjc;XXX;Bariji
;;bgd;XXX;Rathwi Bareli
;;xla;XXX;Kamula
;;slv;XXX;Slovenian
;;hot;XXX;Hote
;;anr;XXX;Andh
;;jrb;XXX;Judeo-Arabic
;;diw;XXX;Northwestern Dinka
;;ags;XXX;Esimbi
;;kkl;XXX;Kosarek Yale
;;gyi;XXX;Gyele
;;smu;XXX;Somray
;;kjl;XXX;Western Parbate Kham
;;xum;XXX;Umbrian
;;aor;XXX;Aore
;;omc;XXX;Mochica
;;ykr;XXX;Yekora
;;ygr;XXX;Yagaria
;;xmu;XXX;Kamu
;;kay;XXX;Kamayurá
;;gom;XXX;Goan Konkani
;;bzv;XXX;Bebe
;;hbs;XXX;Serbo-Croatian
;;sug;XXX;Suganga
;;dgo;XXX;Dogri (individual language)
;;dad;XXX;Marik
;;cpu;XXX;Pichis Ashéninka
;;zln;XXX;Lianshan Zhuang
;;ipk;XXX;Inupiaq
;;anz;XXX;Anem
;;nik;XXX;Southern Nicobarese
;;nyk;XXX;Nyaneka
;;mat;XXX;San Francisco Matlatzinca
;;nuh;XXX;Ndunda
;;aii;XXX;Assyrian Neo-Aramaic
;;mga;XXX;Middle Irish (900-1200)
;;daa;XXX;Dangaléat
;;age;XXX;Angal
;;bms;XXX;Bilma Kanuri
;;kwk;XXX;Kwakiutl
;;isc;XXX;Isconahua
;;smg;XXX;Simbali
;;arq;XXX;Algerian Arabic
;;aaa;XXX;Ghotuo
;;rkb;XXX;Rikbaktsa
;;myl;XXX;Moma
;;quq;XXX;Quinqui
;;rol;XXX;Romblomanon
;;tpx;XXX;Acatepec Me'phaa
;;tlf;XXX;Telefol
;;ksl;XXX;Kumalu
;;alu;XXX;'Are'are
;;wmo;XXX;Wom (Papua New Guinea)
;;inn;XXX;Isinai
;;hug;XXX;Huachipaeri
;;mkj;XXX;Mokilese
;;gbm;XXX;Garhwali
;;asg;XXX;Cishingini
;;fcs;XXX;Quebec Sign Language
;;agn;XXX;Agutaynen
;;van;XXX;Valman
;;kne;XXX;Kankanaey
;;zbc;XXX;Central Berawan
;;som;XXX;Somali
;;nwy;XXX;Nottoway-Meherrin
;;cok;XXX;Santa Teresa Cora
;;key;XXX;Kupia
;;cjs;XXX;Shor
;;dix;XXX;Dixon Reef
;;rus;XXX;Russian
;;nkk;XXX;Nokuku
;;nhg;XXX;Tetelcingo Nahuatl
;;cax;XXX;Chiquitano
;;avu;XXX;Avokaya
;;tex;XXX;Tennet
;;mnw;XXX;Mon
;;gct;XXX;Colonia Tovar German
;;zam;XXX;Miahuatlán Zapotec
;;xka;XXX;Kalkoti
;;lkc;XXX;Kucong
;;bna;XXX;Bonerate
;;tdj;XXX;Tajio
;;tak;XXX;Tala
;;lbo;XXX;Laven
;;dev;XXX;Domung
;;bdm;XXX;Buduma
;;byh;XXX;Bhujel
;;tad;XXX;Tause
;;deq;XXX;Dendi (Central African Republic)
;;wol;XXX;Wolof
;;mbf;XXX;Baba Malay
;;gvj;XXX;Guajá
;;qxr;XXX;Cañar Highland Quichua
;;rhp;XXX;Yahang
;;zpn;XXX;Santa Inés Yatzechi Zapotec
;;swp;XXX;Suau
;;bss;XXX;Akoose
;;puf;XXX;Punan Merah
;;mfe;XXX;Morisyen
;;ldk;XXX;Leelau
;;bxf;XXX;Bilur
;;brc;XXX;Berbice Creole Dutch
;;orr;XXX;Oruma
;;zps;XXX;Coatlán Zapotec
;;skd;XXX;Southern Sierra Miwok
;;css;XXX;Southern Ohlone
;;pat;XXX;Papitalai
;;ibn;XXX;Ibino
;;gas;XXX;Adiwasi Garasia
;;glk;XXX;Gilaki
;;knl;XXX;Keninjal
;;ndf;XXX;Nadruvian
;;kgh;XXX;Upper Tanudan Kalinga
;;djd;XXX;Djamindjung
;;mnh;XXX;Mono (Democratic Republic of Congo)
;;mjv;XXX;Mannan
;;mtt;XXX;Mota
;;dmc;XXX;Dimir
;;tkq;XXX;Tee
;;nsp;XXX;Nepalese Sign Language
;;ank;XXX;Goemai
;;ndy;XXX;Lutos
;;ded;XXX;Dedua
;;vkt;XXX;Tenggarong Kutai Malay
;;pof;XXX;Poke
;;mhk;XXX;Mungaka
;;jau;XXX;Yaur
;;tiv;XXX;Tiv
;;cam;XXX;Cemuhî
;;xsh;XXX;Shamang
;;lby;XXX;Lamu-Lamu
;;mvb;XXX;Mattole
;;rmm;XXX;Roma
;;vmm;XXX;Mitlatongo Mixtec
;;vai;XXX;Vai
;;usk;XXX;Usaghade
;;vrs;XXX;Varisi
;;mto;XXX;Totontepec Mixe
;;jud;XXX;Worodougou
;;dos;XXX;Dogosé
;;hmm;XXX;Central Mashan Hmong
;;kyr;XXX;Kuruáya
;;azj;XXX;North Azerbaijani
;;zkt;XXX;Kitan
;;ylb;XXX;Yaleba
;;swb;XXX;Maore Comorian
;;gno;XXX;Northern Gondi
;;crm;XXX;Moose Cree
;;mnq;XXX;Minriq
;;yad;XXX;Yagua
;;smn;XXX;Inari Sami
;;bvy;XXX;Baybayanon
;;szn;XXX;Sula
;;yer;XXX;Tarok
;;huv;XXX;San Mateo Del Mar Huave
;;iko;XXX;Olulumo-Ikom
;;rms;XXX;Romanian Sign Language
;;tef;XXX;Teressa
;;pot;XXX;Potawatomi
;;dva;XXX;Duau
;;ojg;XXX;Eastern Ojibwa
;;snw;XXX;Selee
;;mhr;XXX;Eastern Mari
;;knw;XXX;Kung-Ekoka
;;kma;XXX;Konni
;;xgl;XXX;Galindan
;;tem;XXX;Timne
;;ntm;XXX;Nateni
;;kec;XXX;Keiga
;;bzm;XXX;Bolondo
;;tkl;XXX;Tokelau
;;dun;XXX;Dusun Deyah
;;bmv;XXX;Bum
;;bbw;XXX;Baba
;;wmx;XXX;Womo
;;okj;XXX;Oko-Juwoi
;;hhi;XXX;Hoia Hoia
;;byo;XXX;Biyo
;;kvu;XXX;Yinbaw Karen
;;igo;XXX;Isebe
;;drt;XXX;Drents
;;gma;XXX;Gambera
;;nix;XXX;Hema
;;ksr;XXX;Borong
;;wum;XXX;Wumbvu
;;xsa;XXX;Sabaean
;;bpm;XXX;Biyom
;;mub;XXX;Mubi
;;dge;XXX;Degenan
;;yrs;XXX;Yarsun
;;ime;XXX;Imeraguen
;;dsh;XXX;Daasanach
;;bsl;XXX;Basa-Gumna
;;lwg;XXX;Wanga
;;nbr;XXX;Numana-Nunku-Gbantu-Numbu
;;fud;XXX;East Futuna
;;wbi;XXX;Vwanji
;;bqk;XXX;Banda-Mbrès
;;shm;XXX;Shahrudi
;;ofo;XXX;Ofo
;;ncb;XXX;Central Nicobarese
;;bbq;XXX;Bamali
;;ymq;XXX;Qila Muji
;;tye;XXX;Kyenga
;;kyy;XXX;Kambaira
