tab	specimens
specimen	sample
318-U1359A-002H-5-W-36	318-U1359A-002H-5-W-36
318-U1359A-003H-4-W-16	318-U1359A-003H-4-W-16
318-U1359A-008H-5-W-129	318-U1359A-008H-5-W-129
318-U1359A-010H-2-W-73	318-U1359A-010H-2-W-73
318-U1359A-017H-2-W-64	318-U1359A-017H-2-W-64
318-U1359A-018X-6-W-57	318-U1359A-018X-6-W-57
318-U1359A-019X-4-W-40	318-U1359A-019X-4-W-40
318-U1359A-021X-4-W-18	318-U1359A-021X-4-W-18
318-U1359A-022X-2-W-95	318-U1359A-022X-2-W-95
318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-66
318-U1359A-004H-3-W-77	318-U1359A-004H-3-W-77
318-U1359A-006H-2-W-95	318-U1359A-006H-2-W-95
318-U1359A-007H-1-W-54	318-U1359A-007H-1-W-54
318-U1359A-008H-6-W-101	318-U1359A-008H-6-W-101
