,date,code,price,amounts,sell_price,sell_date,left_amount,commission,sell_average
0,2016-07-01,000001,8.69,10000.0,[8.69],['2016-07-04'],0.0,130.35,8.69
1,2016-07-01,600010,2.04,10000.0,[2.02],['2016-07-04'],0.0,30.3,2.02
2,2016-07-01,601801,11.51,10000.0,[11.34],['2016-07-04'],0.0,170.1,11.34
3,2016-07-05,000001,8.8,10000.0,[8.8],['2016-07-06'],0.0,132.00000000000003,8.8
4,2016-07-05,600010,2.06,10000.0,[2.06],['2016-07-06'],0.0,30.900000000000002,2.06
5,2016-07-05,601801,11.64,10000.0,[11.85],['2016-07-06'],0.0,177.75,11.85
6,2016-07-07,000001,8.79,10000.0,[8.79],['2016-07-08'],0.0,131.85,8.79
7,2016-07-07,000002,18.33,10000.0,[17.85],['2016-07-08'],0.0,267.75000000000006,17.85
8,2016-07-07,600010,2.07,10000.0,[2.09],['2016-07-08'],0.0,31.349999999999998,2.09
9,2016-07-07,601801,11.94,10000.0,[11.86],['2016-07-08'],0.0,177.9,11.86
10,2016-07-11,000001,8.75,10000.0,[8.75],['2016-07-12'],0.0,131.25,8.75
11,2016-07-11,000002,17.76,10000.0,[17.54],['2016-07-12'],0.0,263.1,17.54
12,2016-07-11,600010,2.09,10000.0,[2.1],['2016-07-12'],0.0,31.5,2.1
13,2016-07-11,601801,11.62,10000.0,[11.62],['2016-07-12'],0.0,174.29999999999998,11.62
14,2016-07-13,000001,8.88,10000.0,[8.97],['2016-07-14'],0.0,134.55,8.97
15,2016-07-13,000002,17.28,10000.0,[17.41],['2016-07-14'],0.0,261.15,17.41
16,2016-07-13,600010,2.16,10000.0,[2.14],['2016-07-18'],0.0,32.1,2.14
17,2016-07-13,601801,11.72,10000.0,[12.09],['2016-07-14'],0.0,181.35000000000002,12.09
18,2016-07-15,000001,8.95,10000.0,[8.99],['2016-07-18'],0.0,134.85,8.99
19,2016-07-15,000002,17.18,10000.0,[17.12],['2016-07-18'],0.0,256.8,17.12
20,2016-07-15,601801,12.18,10000.0,[12.16],['2016-07-18'],0.0,182.4,12.16
21,2016-07-19,000001,9.04,10000.0,[8.96],['2016-07-20'],0.0,134.40000000000003,8.96
22,2016-07-19,000002,16.69,10000.0,[16.21],['2016-07-20'],0.0,243.15000000000003,16.21
23,2016-07-19,600010,2.12,10000.0,[2.11],['2016-07-20'],0.0,31.65,2.11
24,2016-07-19,601801,11.94,10000.0,[12.01],['2016-07-20'],0.0,180.15,12.01
25,2016-07-21,000001,8.95,10000.0,[8.99],['2016-07-22'],0.0,134.85,8.99
26,2016-07-21,000002,16.23,10000.0,[16.48],['2016-07-22'],0.0,247.20000000000002,16.48
27,2016-07-21,600010,2.11,10000.0,[2.11],['2016-07-22'],0.0,31.65,2.11
28,2016-07-21,601801,11.96,10000.0,[12.05],['2016-07-22'],0.0,180.75,12.05
29,2016-07-25,000001,8.93,10000.0,[8.97],['2016-07-26'],0.0,134.55,8.97
30,2016-07-25,000002,16.57,10000.0,[16.89],['2016-07-26'],0.0,253.35,16.89
31,2016-07-25,600010,2.09,10000.0,[2.09],['2016-07-26'],0.0,31.349999999999998,2.09
32,2016-07-25,601801,12.11,10000.0,[11.95],['2016-07-26'],0.0,179.25,11.95
33,2016-07-27,000001,9.12,10000.0,[8.98],['2016-07-28'],0.0,134.70000000000002,8.98
34,2016-07-27,000002,17.07,10000.0,[16.69],['2016-07-28'],0.0,250.35000000000002,16.69
35,2016-07-27,600010,2.1,10000.0,[2.03],['2016-07-28'],0.0,30.45,2.03
36,2016-07-27,601801,12.15,10000.0,[11.81],['2016-07-28'],0.0,177.15,11.81
37,2016-07-29,000001,9.08,10000.0,[9.18],['2016-08-01'],0.0,137.7,9.18
38,2016-07-29,000002,17.05,10000.0,[17.01],['2016-08-01'],0.0,255.15000000000003,17.01
39,2016-07-29,600010,2.03,10000.0,[2.01],['2016-08-01'],0.0,30.15,2.01
40,2016-07-29,601801,12.15,10000.0,[11.87],['2016-08-01'],0.0,178.04999999999998,11.87
41,2016-08-02,000001,9.24,10000.0,[9.21],['2016-08-03'],0.0,138.15,9.21
42,2016-08-02,000002,17.11,10000.0,[17.55],['2016-08-03'],0.0,263.25,17.55
43,2016-08-02,600010,2.01,10000.0,[2.01],['2016-08-03'],0.0,30.15,2.01
44,2016-08-02,601801,12.39,10000.0,[12.48],['2016-08-03'],0.0,187.20000000000002,12.48
45,2016-08-04,000001,9.17,10000.0,[8.99],['2016-08-05'],0.0,134.85,8.99
46,2016-08-04,000002,17.76,10000.0,[20.33],['2016-08-05'],0.0,304.95,20.33
47,2016-08-04,600010,2.02,10000.0,[2.02],['2016-08-05'],0.0,30.3,2.02
48,2016-08-08,000001,9.04,10000.0,[9.09],['2016-08-09'],0.0,136.35,9.09
49,2016-08-08,000002,20.74,10000.0,[22.11],['2016-08-09'],0.0,331.65,22.11
50,2016-08-08,600010,2.02,10000.0,[2.05],['2016-08-10'],0.0,30.749999999999996,2.05
51,2016-08-08,601801,12.19,10000.0,[12.3],['2016-08-09'],0.0,184.5,12.3
52,2016-08-10,000001,9.15,10000.0,[9.14],['2016-08-11'],0.0,137.10000000000002,9.14
53,2016-08-10,000002,21.7,10000.0,[21.15],['2016-08-11'],0.0,317.24999999999994,21.15
54,2016-08-11,600010,2.06,10000.0,[2.05],['2016-08-12'],0.0,30.749999999999996,2.05
55,2016-08-11,601801,12.53,10000.0,[12.59],['2016-08-15'],0.0,188.85,12.59
56,2016-08-12,000001,9.2,10000.0,[9.55],['2016-08-15'],0.0,143.25,9.55
57,2016-08-12,000002,20.8,10000.0,[23.45],['2016-08-15'],0.0,351.75,23.45
58,2016-08-15,600010,2.06,10000.0,[2.09],['2016-08-16'],0.0,31.349999999999998,2.09
59,2016-08-16,000001,9.68,10000.0,[9.52],['2016-08-17'],0.0,142.79999999999998,9.52
60,2016-08-16,000002,26.51,10000.0,[26.61],['2016-08-17'],0.0,399.15,26.61
61,2016-08-16,601801,12.78,10000.0,[12.85],['2016-08-17'],0.0,192.75,12.85
62,2016-08-17,600010,2.1,10000.0,[2.11],['2016-08-18'],0.0,31.65,2.11
