date,code,price,towards,amount,order_id,trade_id,commission_fee,cash,assets
2016-07-01,000001,8.69,1,10000.0,0.9229591291439618,0.11444184864735674,0.0,2500000,2500000
2016-07-01,600010,2.04,1,10000.0,0.8633802714980527,0.5494016335992751,0.0,2413100.0,2500000.0
2016-07-01,601801,11.51,1,10000.0,0.6588113035967401,0.04380059562959382,0.0,2392700.0,2500000.0
2016-07-04,000001,8.69,-1,10000.0,0.6261509947187975,0.2505894580063186,130.35,2277600.0,2500000.0
2016-07-04,600010,2.02,-1,10000.0,0.1374939194850492,0.47213029169299947,30.3,2364369.65,2499869.65
2016-07-04,601801,11.34,-1,10000.0,0.3654793701769733,0.7899786663669661,170.1,2384539.35,2499639.35
2016-07-05,000001,8.8,1,10000.0,0.9538142223906808,0.6856849625738907,0.0,2497769.25,2497769.25
2016-07-05,600010,2.06,1,10000.0,0.01519464027679851,0.281858996521716,0.0,2409769.25,2497769.25
2016-07-05,601801,11.64,1,10000.0,0.9383502985711144,0.6162357312454473,0.0,2389169.25,2497769.25
2016-07-06,000001,8.8,-1,10000.0,0.33016617758513833,0.14888150023807445,132.00000000000003,2272769.25,2497769.25
2016-07-06,600010,2.06,-1,10000.0,0.44031740617519566,0.8361335653023486,30.900000000000002,2360637.25,2497637.25
2016-07-06,601801,11.85,-1,10000.0,0.7865479314863709,0.24467013536681936,177.75,2381206.35,2497606.35
2016-07-07,000001,8.79,1,10000.0,0.883081613474953,0.7320983677134264,0.0,2499528.6,2499528.6
2016-07-07,000002,18.33,1,10000.0,0.2603431806126275,0.12893709627799854,0.0,2411628.6,2499528.6
2016-07-07,600010,2.07,1,10000.0,0.926806360394463,0.7092192707938128,0.0,2228328.6,2499528.6
2016-07-07,601801,11.94,1,10000.0,0.24385171955854923,0.5103831182257829,0.0,2207628.6,2499528.6
2016-07-08,000001,8.79,-1,10000.0,0.3391237140143045,0.13123267256202087,131.85,2088228.6,2499528.6
2016-07-08,000002,17.85,-1,10000.0,0.3125982806566048,0.8293611889028271,267.75000000000006,2175996.75,2499396.75
2016-07-08,600010,2.09,-1,10000.0,0.8412777965245257,0.38349249250783757,31.349999999999998,2354229.0,2494329.0
2016-07-08,601801,11.86,-1,10000.0,0.5889276082453767,0.019947625988515183,177.9,2375097.65,2494497.65
2016-07-11,000001,8.75,1,10000.0,0.3588081329695533,0.7231197010882203,0.0,2493519.75,2493519.75
2016-07-11,000002,17.76,1,10000.0,0.5911709324032842,0.8850291557592385,0.0,2406019.75,2493519.75
2016-07-11,600010,2.09,1,10000.0,0.5789860575937809,0.9820530064533257,0.0,2228419.75,2493519.75
2016-07-11,601801,11.62,1,10000.0,0.8504477105200368,0.472933789717083,0.0,2207519.75,2493519.75
2016-07-12,000001,8.75,-1,10000.0,0.8656274597799548,0.6833792463429653,131.25,2091319.75,2493519.75
2016-07-12,000002,17.54,-1,10000.0,0.4744077258145063,0.8982024547637696,263.1,2178688.5,2493388.5
2016-07-12,600010,2.1,-1,10000.0,0.8136393133961015,0.9882389268311188,31.5,2353825.4,2490925.4
2016-07-12,601801,11.62,-1,10000.0,0.03635308568640527,0.7175402346673098,174.29999999999998,2374793.9,2490993.9
2016-07-13,000001,8.88,1,10000.0,0.4687291109163545,0.3481996522083698,0.0,2490819.6,2490819.6
2016-07-13,000002,17.28,1,10000.0,0.14039157322673168,0.3647971114622164,0.0,2402019.6,2490819.6
2016-07-13,600010,2.16,1,10000.0,0.03328452688995209,0.06510855540581062,0.0,2229219.6,2490819.6
2016-07-13,601801,11.72,1,10000.0,0.4821335996148942,0.4438885724148256,0.0,2207619.6,2490819.6
2016-07-14,000001,8.97,-1,10000.0,0.31704846630028005,0.24222818107774424,134.55,2090419.6,2490819.6
2016-07-14,000002,17.41,-1,10000.0,0.39172394776209685,0.5173930549487975,261.15,2179985.0500000003,2491585.0500000003
2016-07-14,601801,12.09,-1,10000.0,0.15957486748183292,0.44120559929994996,181.35000000000002,2353823.9000000004,2492623.9000000004
2016-07-15,000001,8.95,1,10000.0,0.492695572099094,0.35916350883166304,0.0,2474542.5500000003,2496142.5500000003
2016-07-15,000002,17.18,1,10000.0,0.6817230924116885,0.6053914000177439,0.0,2385042.5500000003,2496142.5500000003
2016-07-15,601801,12.18,1,10000.0,0.22690916007573358,0.9240920665946483,0.0,2213242.5500000003,2496142.5500000003
2016-07-18,000001,8.99,-1,10000.0,0.1825819836975232,0.5957519926112538,134.85,2091442.5500000003,2496142.5500000003
2016-07-18,000002,17.12,-1,10000.0,0.10381441391192969,0.7239571092841682,256.8,2181207.7,2496407.7
2016-07-18,600010,2.14,-1,10000.0,0.9979168652902067,0.02946220311956016,32.1,2352150.9000000004,2495550.9000000004
2016-07-18,601801,12.16,-1,10000.0,0.9355707242497581,0.6208853806012575,182.4,2373518.8000000003,2495318.8000000003
2016-07-19,000001,9.04,1,10000.0,0.750141618378028,0.505823368876051,0.0,2494936.4000000004,2494936.4000000004
2016-07-19,000002,16.69,1,10000.0,0.5472089135594993,0.6938309932624865,0.0,2404536.4000000004,2494936.4000000004
2016-07-19,600010,2.12,1,10000.0,0.5588554078756268,0.2078000452331349,0.0,2237636.4000000004,2494936.4000000004
2016-07-19,601801,11.94,1,10000.0,0.2111272237455296,0.7182526601506385,0.0,2216436.4000000004,2494936.4000000004
2016-07-20,000001,8.96,-1,10000.0,0.36692892003696276,0.4042526516906808,134.40000000000003,2097036.4000000004,2494936.4000000004
