tab 	samples
azimuth	bed_dip	bed_dip_direction	citations	dip	location	method_codes	sample	site	software_packages
183.0	5.0	59.0	This study	76.0	Northern Iceland	FS-FD:SO-POM	is001a	is001	pmagpy-3.11.2
207.0	5.0	59.0	This study	80.0	Northern Iceland	FS-FD:SO-POM	is001b	is001	pmagpy-3.11.2
192.0	5.0	59.0	This study	59.0	Northern Iceland	FS-FD:SO-POM	is001c	is001	pmagpy-3.11.2
276.0	5.0	59.0	This study	79.0	Northern Iceland	FS-FD:SO-POM	is001d	is001	pmagpy-3.11.2
198.0	5.0	59.0	This study	34.0	Northern Iceland	FS-FD:SO-POM	is001e	is001	pmagpy-3.11.2
203.0	5.0	59.0	This study	64.0	Northern Iceland	FS-FD:SO-POM	is001f	is001	pmagpy-3.11.2
230.0	5.0	59.0	This study	48.0	Northern Iceland	FS-FD:SO-POM	is001g	is001	pmagpy-3.11.2
310.0	5.0	59.0	This study	56.0	Northern Iceland	FS-FD:SO-POM	is001h	is001	pmagpy-3.11.2
177.0	5.0	59.0	This study	39.0	Northern Iceland	FS-FD:SO-POM	is001i	is001	pmagpy-3.11.2
150.0	5.0	59.0	This study	58.0	Northern Iceland	FS-FD:SO-POM	is001j	is001	pmagpy-3.11.2
121.0	5.0	59.0	This study	49.0	Northern Iceland	FS-FD:SO-POM	is001k	is001	pmagpy-3.11.2
249.0	5.0	59.0	This study	45.0	Northern Iceland	FS-FD:SO-POM	is001l	is001	pmagpy-3.11.2
296.0	5.0	59.0	This study	51.0	Northern Iceland	FS-FD:SO-POM	is001m	is001	pmagpy-3.11.2
287.0	5.0	59.0	This study	57.0	Northern Iceland	FS-FD:SO-POM	is001n	is001	pmagpy-3.11.2
238.0	5.0	59.0	This study	34.0	Northern Iceland	FS-FD:SO-POM	is001o	is001	pmagpy-3.11.2
220.0	5.0	59.0	This study	35.0	Northern Iceland	FS-FD:SO-POM	is001p	is001	pmagpy-3.11.2
280.0	5.0	59.0	This study	34.0	Northern Iceland	FS-FD:SO-POM	is002a	is002	pmagpy-3.11.2
