t,H-Concentration,O-Concentration,OH-Concentration,H2-Concentration,H2O-Concentration,O2-Concentration,H-Reaction_rate,O-Reaction_rate,OH-Reaction_rate,H2-Reaction_rate,H2O-Reaction_rate,O2-Reaction_rate,T
0.0,1.0,1.0,1.0,1.0,1.0,1.0,-6288899.292594077,6289899.292594077,6827615.279345727,-270357.99337582523,1000.0,-6559257.285969902,1000.0
1e-07,0.6309559970645224,1.3691667977532167,1.433571759673869,0.967613326813066,1.0001227948177378,0.5985693238775881,-2119001.5442635384,2120388.6874031415,2832705.434317702,-358239.08816668525,1387.1431396032935,-2477240.6324302233,1000.0
2e-07,0.48704185267931566,1.513228164429825,1.65164235711822,0.930387877992092,1.0002700171091392,0.41742973067140743,-952771.856068304,954308.5240961451,1711224.2438030175,-380762.8618951979,1536.6680278410777,-1333534.7179635018,1000.0
3e-07,0.418793029531063,1.5816343907519506,1.7960400524142353,0.8921560387443381,1.0004274202830117,0.3109490682754008,-472484.2478640587,474086.5958426468,1232647.3454392522,-381683.89676618483,1602.3479785880577,-854168.1446302435,1000.0
4e-07,0.3848676137087003,1.6157215545487478,1.9052552992168739,0.854349375279766,1.000589168257446,0.2392169889884658,-230443.27615943106,232071.02983406547,974081.8146193419,-373447.0229045898,1627.7536746343997,-603890.2990640209,1000.0
5e-07,0.3693305154253985,1.6314217013054635,1.9939506857716947,0.8176071826705927,1.0007522167308596,0.18693769809599087,-91946.21865398782,93576.4870565657,810519.0565589877,-360916.6873550778,1630.2684025778915,-452862.9060090656,1000.0
6e-07,0.36477541923135276,1.6361393265602733,2.068929754621005,0.782232667282196,1.0009147457916234,0.14700808651354838,-5385.797124431029,7004.181564807717,694856.9434251052,-346353.95759071375,1618.384440376688,-351739.75471514475,1000.0
7e-07,0.3673015857024665,1.633773988918067,2.133818139658663,0.7483645626989026,1.0010755746205309,0.11566614840136875,52263.883280456546,-50667.0094014919,606401.8275878243,-330929.7293131051,1596.8738789646413,-278665.8460326486,1000.0
8e-07,0.37464996100234105,1.6265839388987864,2.1907753835547976,0.7160534278203039,1.0012338999011245,0.09070338882264452,92398.805600623,-90830.09337764425,535055.0199446168,-315295.6249955986,1568.7122229787537,-222896.8193949756,1000.0
9e-07,0.3854030300585586,1.6159861328365197,2.2412194820350213,0.6852995810581324,1.0013891628950757,0.07070261111669064,121099.06832236989,-119563.16155027197,475493.6656615432,-299832.27376405447,1535.9067720979244,-178733.20544168458,1000.0
1e-06,0.39860492982492257,1.602936044890808,2.2861660168680507,0.6560735519377838,1.0015409747157282,0.05467848176270603,141808.8459794099,-140308.95292040383,424728.55929363705,-284768.59569552954,1499.8930590060775,-142959.74971611964,1000.0
1.1e-06,0.41356808621149665,1.5881209842868158,2.326398078216615,0.6283278472876329,1.00168907049831,0.04189593349912919,156592.4030326221,-155130.66233620216,380971.07590271987,-270243.48016409087,1461.740696419932,-113651.0771314688,1000.0
1.2e-06,0.4297702910931357,1.5720629879505892,2.362554934463092,0.6020041081781622,1.0018332790437223,0.03177439927129761,166768.3393240478,-165346.07154770443,343066.2090747111,-256339.5419757228,1422.2677763433703,-89571.202651675,1000.0
1.2999999999999998e-06,0.44679873246180873,1.5551747688716782,2.3951789024192203,0.5770376812259997,1.0019735013334843,0.02383641368780823,173245.8637408296,-171863.75526085618,310194.8688726479,-243102.47478671215,1382.108479973422,-69856.61104588256,1000.0
1.3999999999999997e-06,0.4643190828236657,1.5377906116002253,2.4247401634410877,0.5533606824437333,1.0021096944238883,0.017679765267398846,176707.42459266994,-175365.66872107945,281714.4862953879,-230552.7113156194,1341.7558715904895,-53845.28672294948,1000.0
1.4999999999999996e-06,0.48205823192364533,1.5201836269468298,2.4516497944493834,0.5309041279430115,1.0022418588704727,0.012962359866656704,177706.56591073293,-176404.9749145891,257075.89515331553,-218692.82152816805,1301.5909961438133,-40986.25561743512,1000.0
1.5999999999999995e-06,0.4997941887192815,1.5025758399262807,2.4762668445825504,0.509599454703523,1.002370028645559,0.009393643422804333,176717.52500764356,-175455.62077394387,235783.67834556225,-207512.5059103026,1261.904233699681,-30794.98090265903,1000.0
1.6999999999999994e-06,0.5173494319266744,1.4851448310173923,2.498902805850453,0.48937961816736997,1.0024942629440639,0.006729050094044448,174157.64951535017,-172934.73741438572,217380.91973242396,-196992.19672485153,1222.9121009644643,-22834.547209501343,1000.0
1.7999999999999993e-06,0.5345856935354706,1.468028945964922,2.519825270837434,0.4701798783131552,1.00261463950039,0.004765571848626007,170395.39849360415,-169210.62735439138,201446.6696260459,-187105.8051990378,1184.771139212758,-16710.406705433634,1000.0
1.8999999999999992e-06,0.5513991874346041,1.4513320617718009,2.539261640525674,0.451938336813456,1.0027312492064024,0.0033375242480602817,165751.8362566053,-164604.24657405194,187598.76628463992,-177822.890953176,1147.589682553381,-12071.054696570687,1000.0
1.999999999999999e-06,0.567715854282403,1.4351283375179666,2.5574031956987113,0.43459628320907345,1.0028441918003672,0.0023121374914765918,160500.48211280006,-159389.0441892824,175497.455336606,-169110.4066482207,1111.4379235176666,-8609.924535420647,1000.0
2.099999999999999e-06,0.5834866276503955,1.419466944848746,2.5744094631888657,0.41809838208122824,1.0029535724991387,0.0015850097316237846,154867.87437576277,-153791.5179443889,164847.58335988503,-160934.08529919776,1076.356431373868,-6066.210923434996,1000.0
2.199999999999999e-06,0.5986828305198929,1.4043766688717125,2.59041269003777,0.40239274032956357,1.0030594993916027,0.0010755708494564749,149035.84685711883,-147993.48359619005,155398.47033338243,-153259.5218561794,1042.3632609287747,-4223.674999060579,1000.0
2.2999999999999987e-06,0.6132918936227544,1.38987018786943,2.6055221882679973,0.3874308775624401,1.003162081492182,0.0007227711851944585,143145.462013127,-142136.00226521792,146941.58265181433,-146052.98208037973,1009.4597479090794,-2907.520067252739,1000.0
2.3999999999999986e-06,0.6273135267248232,1.3759479005901658,2.619828363173549,0.3731676277358249,1.0032614273149867,0.00048115446064816666,137302.16721993213,-136324.53208457163,139306.51988058042,-139281.97868561678,977.6351353605024,-1979.8114656846399,1000.0
2.4999999999999985e-06,0.6407564418453056,1.362601202002273,2.6334062810936714,0.35956099468293284,1.0033576438475764,0.00031743652823848257,131581.5026874202,-130634.63250558589,132356.06163296345,-132915.65234202615,946.8701818343235,-1334.1496546059373,1000.0
2.5999999999999984e-06,0.6536356484189993,1.3498151874261526,2.6463187256669585,0.346571977111869,1.00345083584515,0.00020762553086842658,126034.82962003723,-125117.68970721467,125980.88240908593,-126924.99592738414,917.1399128225595,-890.1663073469067,1000.0
2.6999999999999983e-06,0.6659703061180414,1.3375707992489096,2.6586187289513625,0.3341643770983468,1.003541105366949,0.0001346832163884006,120694.62469136783,-119806.2090198658,120094.45881261451,-121282.95742349321,888.4156715020305,-588.3327321253763,1000.0
2.799999999999998e-06,0.6777820745045992,1.3258464769823806,2.670351616001633,0.32230460325990407,1.0036285514869776,8.66777645033659e-05,115579.10695343788,-114718.44033527802,114628.46854195246,-115964.45436585502,860.66661815985,-385.3474124171494,1000.0
2.899999999999998e-06,0.6890938858841142,1.3146193842482017,2.6815566223309206,0.3109614757601661,1.003713270132314,5.536164428048578e-05,110696.09516107377,-109862.2343564593,109528.83662578989,-110946.3266980463,833.8608046144694,-250.23153697252764,1000.0
2.999999999999998e-06,0.6999290657671156,1.303866288245171,2.6922681498752277,0.30010603816654147,1.0037953540122844,3.5103933657023316e-05,106046.0866838565,-105238.12075571548,104752.48018719541,-106207.24936366697,807.965928141019,-161.1626798104643,1000.0
3.099999999999998e-06,0.710310725166473,1.2935641674441583,2.7025167308885036,0.2897113793618807,1.0038748926106285,2.210452835360685e-05,101624.63382988021,-100841.68398002595,100264.70902370536,-101727.62127664706,782.9498498542689,-102.98744676684458,1000.0
3.1999999999999977e-06,0.7202613592392411,1.2836906129812238,2.7123297618541913,0.2797524672328194,1.003951972220462,1.3826472060344366e-05,97424.12119549216,-96665.34025266445,96037.20231404642,-97489.442697597,758.7809428277154,-65.32150210484174,1000.0
3.2999999999999976e-06,0.7298025985960319,1.274224077411613,2.721732059754536,0.270205994817071,1.0040266760076422,8.593413102934954e-06,93435.05297476982,-92699.62465593833,92046.46903845077,-93476.18932544178,735.4283188314902,-41.136350671967506,1000.0
3.3999999999999975e-06,0.7389550693494391,1.265144014742893,2.7307462845077266,0.26105023897908514,1.0040990840923292,5.308328524239894e-06,89646.95926215843,-88934.09729199644,88272.69422056878,-89672.6887115256,712.8619701619908,-25.729449367160516,1000.0
3.4999999999999974e-06,0.7477383286580234,1.2564309449835693,2.739393261702916,0.2522649311779375,1.00416927364159,3.2598359609110577e-06,86049.01419404743,-85357.96134141463,84698.88492437018,-86065.0024118416,691.0528526327919,-15.988217794170954,1000.0
3.5999999999999973e-06,0.7561708509486039,1.2480664680195552,2.747692231831851,0.24383113964161346,1.0042373189681564,1.990590217299907e-06,82630.44262693531,-81960.46969866335,81310.2431035224,-82640.31579350082,669.9729282719685,-9.873166565506606,1000.0
3.699999999999997e-06,0.7642700468218492,1.2400332448101588,2.7556610456274164,0.23573116214335907,1.0043032916320052,1.208965208188482e-06,79380.77578576295,-78731.18060500402,78093.70661550442,-79386.83638139261,649.5951807589348,-6.060595629657746,1000.0
3.799999999999997e-06,0.772052301935737,1.2323149586067688,2.763316319972168,0.2279484285035414,1.0043672605425031,7.304392783956321e-07,76290.00193170442,-75660.10831910858,75037.61272654559,-76293.70094172085,629.8936125958448,-3.6990100164268034,1000.0
3.899999999999997e-06,0.7795330271624727,1.2248962648971555,2.7706735648080483,0.22046741195511085,1.0044292920596258,4.39117583451345e-07,73348.64579799052,-72737.80256778485,72131.44989247475,-73350.89107543831,610.8432302056716,-2.245277447790799,1000.0
3.999999999999997e-06,0.7867267141735313,1.2177627359197345,2.7777472885535546,0.2132735485431906,1.0044894500932633,2.6271672174276814e-07,70547.80114083887,-69955.38111965283,69365.67251522311,-70549.15684921703,592.4200211860426,-1.3557083781661041,1000.0
4.099999999999997e-06,0.7936469926689359,1.2109008035310518,2.784551087362412,0.2063531637843383,1.004547796199985,1.5645327396121962e-07,67879.13341129704,-67304.53248470069,66731.56046661599,-67879.94786555287,574.6009265963531,-0.8144542558302197,1000.0
4.199999999999997e-06,0.8003066868835523,1.2042977027933177,2.7910977220153943,0.19969340587365628,1.0046043896768673,9.275720845490674e-08,65334.864205170044,-64777.500394934585,64221.110427319625,-65335.351126480295,557.3638102354575,-0.486921310248837,1000.0
4.299999999999997e-06,0.806717869965363,1.1979414176867982,2.7973991851446245,0.19328218479284498,1.0046592876521585,5.475820791172773e-08,62907.74529490448,-62367.05786866201,61826.949945255634,-62908.03504632253,540.6874262424773,-0.28975141804872445,1000.0
4.399999999999997e-06,0.8128919154574644,1.1918206297151948,2.8034667607265713,0.1871081167353225,1.0047125451726566,3.2192786975434275e-08,60591.02734690883,-60066.4759609792,59542.26787681927,-60591.198997793676,524.5513859296237,-0.17165088484675148,1000.0
4.499999999999997e-06,0.8188395455272335,1.1859246697605301,2.8093110772490872,0.1811604733240758,1.0047642152877607,1.885130924904453e-08,58378.42656943266,-57869.490444963645,57360.75682047644,-58378.527819423565,508.9361244690139,-0.10124999090695788,1000.0
4.599999999999997e-06,0.8245708758439446,1.1802434732862612,2.814942155590192,0.17542913515272596,1.0048143491302028,1.0996670522225901e-08,56264.09128594237,-55770.26841808223,55276.56450280221,-56264.15076223243,493.8228678601376,-0.05947629005494556,1000.0
4.6999999999999965e-06,0.8300954571613477,1.1747675388321543,2.820369452392106,0.1699045492297708,1.0048629959934996,6.391118564116539e-09,54242.56960618886,-53763.37600571876,53284.252002097055,-54242.604404613056,479.19360047009627,-0.03479842419476092,1000.0
4.799999999999996e-06,0.835422313748996,1.169487889657204,2.825601899533987,0.16457768995230798,1.0049102034061974,3.701304135080364e-09,52308.778832021715,-51843.74779867156,51378.75732976333,-52308.799114242676,465.031033350157,-0.02028222095785778,1000.0
4.899999999999996e-06,0.8405599788684526,1.1643960383345475,2.8306479401900337,0.15944002326775636,1.0049560172029974,2.1362090469105446e-09,50457.97690112698,-50006.658327680256,49555.36330999351,-50457.98867900697,451.3185734467256,-0.011777879987423254,1000.0
4.999999999999996e-06,0.8455165275003855,1.1594839540924642,2.835515561857054,0.15448347372843077,1.0050004815928466,1.2288162843443456e-09,48685.735959714635,-48247.69566590794,47809.66900203424,-48685.74277468114,438.0402938067008,-0.006814966505197785,1000.0
5.099999999999996e-06,0.850299606525377,1.1547440326987237,2.8402123266679933,0.14970039417921405,1.005043639224098,7.045909793592912e-10,46987.91804634771,-46562.73714149285,46137.564096116286,-46987.92197608686,425.18090485486124,-0.003929739147317166,1000.0
5.199999999999996e-06,0.854916462585072,1.1501690686617887,2.844745399285814,0.14508353781769653,1.0050855312468578,4.0276832924546223e-10,45360.652783011654,-44947.927056292654,44535.20584671474,-45360.6550415822,412.7257267190016,-0.002258570544681106,1000.0
5.299999999999996e-06,0.8593739678725387,1.1457522295002527,2.849121572667908,0.14062603235698548,1.0051261973727885,2.2952395768684531e-10,43800.316925199615,-43399.656262732635,42998.99818785218,-43800.31821899288,400.66066246698256,-0.0012937932593582442,1000.0
5.399999999999996e-06,0.8636786438294471,1.141487032102488,2.8533472917048432,0.13632135630091968,1.005165675931932,1.303665602680618e-10,42303.515699048745,-41914.54352624599,41525.57283051993,-42303.516437587095,388.97217280276016,-0.0007385383539150194,1000.0
5.499999999999996e-06,0.8678366828958499,1.1373673210308965,2.8574286748944706,0.1321633171780934,1.0052040039267434,7.394298623335496e-11,40867.065786134124,-40489.41853386027,40111.772123407216,-40867.066207044525,377.647252273857,-0.0004209103991958063,1000.0
5.5999999999999955e-06,0.8718539687206821,1.1333872483622203,2.8613715344712363,0.12814603132113872,1.0052412170828993,4.1820484082181466e-11,39487.97973051717,-39121.3063242394,38754.63339628045,-39487.97996967658,366.67340627776576,-0.00023915940857697696,1000.0
5.699999999999995e-06,0.8757360900172468,1.129541259860866,2.8651813902136842,0.12426391000642155,1.0052773498781098,2.3668003080430847e-11,38163.45331290181,-37807.414670476224,37451.376299957104,-38163.45344885504,356.038642425587,-0.00013595323038608344,1000.0
5.799999999999995e-06,0.8794883735089257,1.1258240621476456,2.8688635021691256,0.12051162650440343,1.0053124356565681,1.3328648931220562e-11,36890.84715212156,-36545.115745256044,36199.38449217089,-36890.84722901174,345.73140686552046,-7.689018362368111e-05,1000.0
5.899999999999995e-06,0.8831158888643016,1.1222306177606158,2.872422875599698,0.11688411114308297,1.0053465066249145,7.384087834269153e-12,35667.678575745704,-35331.93798110417,34996.19747200855,-35667.67861851866,335.7405946415291,-4.277295146823504e-05,1000.0
5.999999999999995e-06,0.8866234618672914,1.1187561320212773,2.8758642740819895,0.11337653813679108,1.0053795938885657,4.081886030580619e-12,34491.611206274574,-34165.55567072788,33839.500182658354,-34491.61123001316,326.0555355466917,-2.3738581304061607e-05,1000.0
6.099999999999995e-06,0.8900156916060348,1.115396035900972,2.8791922365874867,0.10998430839623256,1.0054117275070036,2.2667982207960405e-12,33360.443740521376,-33043.7777736405,32727.111833226034,-33360.44375375458,316.66596688087674,-1.3233209654410562e-05,1000.0
6.199999999999995e-06,0.8932969630018652,1.1121459735294217,2.882411089936794,0.10670303699938359,1.0054429365312838,1.2482928373191586e-12,32272.10079897532,-31964.53878179836,31656.97677924981,-32272.100806289523,307.56201717695933,-7.314202877780028e-06,1000.0
6.299999999999995e-06,0.8964714593633518,1.1090017896806272,2.8855249612740264,0.10352854063733191,1.0054732490439762,6.831176083850704e-13,31224.624210847887,-30925.890022634594,30627.15584245502,-31224.624214864747,298.73418821329363,-4.016859247161089e-06,1000.0
6.399999999999995e-06,0.899543177251686,1.105959514960348,2.888537792826874,0.10045682274868585,1.0055026922120314,3.7133081731295303e-13,30216.16395364939,-29925.9906245925,29635.817299917566,-30216.163955840366,290.17332905688954,-2.1909762697458575e-06,1000.0
6.4999999999999945e-06,0.9025159351550696,1.1030153571541708,2.891453350536231,0.0974840648451088,1.0055312923092379,1.779104709385114e-13,29244.971513098182,-28963.1008871779,28681.230263364025,-29244.971514151384,281.87062592028104,-1.0532004945576433e-06,1000.0
6.599999999999994e-06,0.9053933700459846,1.100165704659158,2.8942752206355644,0.09460662995408262,1.00555907470514,6.684081106107632e-14,28309.39748976273,-28035.57986497879,27761.762240988744,-28309.397490159678,273.81762478393966,-3.969480633280664e-07,1000.0
6.699999999999994e-06,0.9081789765929869,1.0974070874134698,2.897006848580005,0.0918210234070469,1.0055860640064542,3.3320275215567423e-14,27407.875611417563,-27141.869477763725,26875.863344506863,-27407.87561161605,266.0061336538398,-1.9848819869866443e-07,1000.0
6.799999999999994e-06,0.9108760576144804,1.094736226226982,2.8996514899312698,0.08912394238566197,1.0056122838414598,1.4199623089459541e-13,26538.93583292605,-26280.507460598918,26022.079089968545,-26538.93583377443,258.4283723271334,-8.483806801257503e-07,1000.0
6.899999999999994e-06,0.9134878130932215,1.0921499441626386,2.902212298580875,0.08651218690709113,1.0056377572558575,3.1223807207308854e-13,25701.172824234636,-25450.096091415748,25199.019362338593,-25701.172826105503,251.07673281888725,-1.8708685778539864e-06,1000.0
6.999999999999994e-06,0.9160172930993952,1.089645213400453,2.904692280098801,0.08398270690105315,1.0056625064998457,4.480120707202984e-13,24893.258759325232,-24649.31483892794,24405.370923914314,-24893.258762017063,243.9439203972894,-2.6918326361514114e-06,1000.0
7.099999999999994e-06,0.918467423513996,1.0872191296047882,2.907094317275517,0.08153257648645877,1.0056865531187817,4.545088434184934e-13,24113.932742465735,-23876.909852689118,23639.886968388844,-24113.932745203907,237.02288977661573,-2.738172228310413e-06,1000.0
7.199999999999994e-06,0.9208410280787382,1.0848688900214802,2.9094211918778736,0.07915897192147486,1.0057099181002158,2.12847286355988e-13,23361.9917392275,-23131.684948791895,22901.3781609275,-23361.991740513102,230.30679043560454,-1.2856046809401033e-06,1000.0
7.299999999999994e-06,0.9231407048233287,1.082591916309048,2.9116754625587578,0.07685929517657952,1.005732621132374,-9.206211158432827e-14,22636.327663524615,-22412.538339689407,22188.749014739304,-22636.327662967167,223.78932383520728,5.574468931907189e-07,1000.0
7.3999999999999935e-06,0.9253691075502174,1.0803855746677755,2.9138597431148665,0.07463089244946441,1.0057546822179906,-3.1830014252348295e-13,21935.83657057013,-21718.3726174689,21500.90866050368,-21935.836568638133,217.4639531012296,1.931997216667365e-06,1000.0
7.499999999999993e-06,0.9275286745213527,1.0782474455853555,2.915976434308314,0.07247132547845818,1.0057761201067055,-1.8937788438113313e-13,21259.50280827241,-21048.178131014138,20836.853451451556,-21259.502807120254,211.32467725827175,1.1521559623709635e-06,1000.0
7.599999999999993e-06,0.9296217749109073,1.0761751782142666,2.9180278686606904,0.07037822508902686,1.0057969531251711,-6.613750649148878e-14,20606.351201386628,-20400.98557922997,20195.619956266753,-20606.351200983347,205.36562215665538,4.0328193790624725e-07,1000.0
7.699999999999994e-06,0.9316506806181237,1.0741665183951927,2.920016282591603,0.06834931938181982,1.0058171990133138,-5.676181947964667e-14,19975.454547592846,-19775.87342209388,19576.292295901178,-19975.45454724598,199.5811254989677,3.4686787530597827e-07,1000.0
7.799999999999995e-06,0.9336175727183503,1.0722193022342914,2.921943822813136,0.06638242728161473,1.0058368749526392,-3.524162029655836e-14,19365.930288656626,-19171.96456531777,18977.998841547287,-19365.930288440813,193.96572333885635,2.1581396883698056e-07,1000.0
7.899999999999996e-06,0.9355245460909986,1.07033145149645,2.9238125509161255,0.06447545390898879,1.0058559975874457,-1.285834114020523e-14,18776.937861590082,-18588.423720224968,18399.909578702045,-18776.93786151118,188.51414136511556,7.89032327316528e-08,1000.0
7.999999999999996e-06,0.937373612101707,1.0685009709326918,2.925624446032924,0.06262638789828522,1.005874583034396,-8.129417416229893e-15,18207.676741795334,-18024.455450393372,17841.234158891446,-18207.676741745352,183.2212914019637,4.9983517267595265e-08,1000.0
8.099999999999997e-06,0.9391667091579696,1.06672593778543,2.9273814152711797,0.06083329084202538,1.0058926469433966,-5.326900845032848e-15,17657.382152763075,-17479.299907722343,17301.21766261598,-17657.38215273026,178.08224504073155,3.281496677900742e-08,1000.0
8.199999999999998e-06,0.9409056932339694,1.0650045111931106,2.9290852843798043,0.059094306766032674,1.0059102044270771,1.769595074946032e-15,17125.327014664424,-16952.234750325413,16779.142486008244,-17125.327014675346,173.0922643390122,-1.0921308214365189e-08,1000.0
8.299999999999998e-06,0.9425923590903849,1.0633349111093402,2.930737818690903,0.05740764090963033,1.0059272701997222,1.4779160438649752e-14,16610.8145423302,-16442.56779803452,16274.32105392159,-16610.814542421576,168.24674429568066,-9.137520094932473e-08,1000.0
8.4e-06,0.9442284249644146,1.061715433510845,2.9323407080138315,0.055771575035616854,1.005943858475257,3.109610533443519e-14,16113.18210441213,-15949.640844585143,15786.099585143338,-16113.18210460472,163.54125982698724,-1.925917748092087e-07,1000.0
8.5e-06,0.9458155555390798,1.0601444275485659,2.9338955893637015,0.05418444446096284,1.0059599830876431,4.2369625273249526e-14,15631.793450455825,-15472.821947839684,15313.850445749253,-15631.79345071868,158.97150261614132,-2.628546969565259e-07,1000.0
8.6e-06,0.9473553294818082,1.058620327827932,2.935404014862255,0.05264467051822709,1.0059756573097378,3.511147955022476e-14,15166.047844471184,-15011.51446727088,14856.981090506935,-15166.047844689365,154.53337720030441,-2.181808852111069e-07,1000.0
8.700000000000001e-06,0.9488492789182462,1.0571416151655826,2.9368674907505774,0.05115072108175855,1.0059908940838262,4.4973552291161644e-15,14715.367402102887,-14565.14451222942,14414.921622411935,-14715.367402130878,150.22288987346687,-2.7990399073489756e-08,1000.0
8.800000000000002e-06,0.9502988923251893,1.0557068137129735,2.9382874802489516,0.04970110767476587,1.0060057060381602,-4.512827314337842e-14,14279.19565057753,-14133.15950814226,13987.123365144398,-14279.195650296235,146.03614243526962,2.812960312037683e-07,1000.0
8.900000000000003e-06,0.9517055891364959,1.054314516199113,2.939665378465495,0.04829441086339462,1.0060201053356064,-1.0960886949252314e-13,13857.004611629256,-13715.035204040747,13573.065795083776,-13857.004610945025,141.96940758850906,6.842313750785707e-07,1000.0
9.000000000000004e-06,0.9530707464684071,1.0529633573505068,2.9410025388309067,0.04692925353142817,1.0060341038189113,-1.6493643530678474e-13,13448.286212153027,-13310.267158371658,13172.248102528109,-13448.286211121937,138.01905378136954,1.0310896086133043e-06,1000.0
9.100000000000004e-06,0.9543956852039635,1.05165202773567,2.942300259325056,0.04560431479585574,1.006047712939631,-1.8100526215479477e-13,13052.555968776735,-12918.374381526546,12784.192792010126,-13052.555967643619,134.18158725018785,1.133115901945422e-06,1000.0
9.200000000000005e-06,0.9556816793149319,1.0503792644936583,2.943559791698026,0.04431832068492973,1.006060943808588,-1.3861818754358125e-13,12669.349721216337,-12538.8960944126,12408.442465870989,-12669.3497203474,130.45362680373808,8.689367054555546e-07,1000.0
9.300000000000006e-06,0.956929962333652,1.04914384489708,2.9447823478722643,0.043070037666308424,1.00607380723073,-3.9688913936019366e-14,12298.221276304996,-12171.389389663056,12044.55750252288,-12298.221276055878,126.8318866419386,2.4911738370553724e-07,1000.0
9.400000000000007e-06,0.9581417166631848,1.0479445969838743,2.945969089368831,0.0418582833369318,1.0060863136470568,1.1638717771866662e-13,11938.745186355922,-11815.431977511278,11692.11877012955,-11938.74518708738,123.31320884464347,-7.314582672257985e-07,1000.0
9.500000000000007e-06,0.9593180910113461,1.046780382221206,2.947121144545653,0.04068190898894705,1.00609847323255,2.929267381892677e-13,11590.51118973861,-11470.616675556803,11350.722165061428,-11590.511191581827,119.89451418180772,-1.8432163605059104e-06,1000.0
9.600000000000008e-06,0.9604601892805964,1.0456501065525958,2.9482395976133255,0.03953981071984537,1.00611029583319,4.415523189606815e-13,11253.127161622237,-11136.554325975852,11019.981495892946,-11253.127164403975,116.57283564638398,-2.7817378802955185e-06,1000.0
