Antrim and Newtownabbey,Dunsilly,Cranfield
,,Finaghy
,,Malone
,,Musgrave
,,Upper Malone
,Botanic,Blackstaff
,,Central
,,Ormeau
,,Stranmillis
,,Windsor
,Lisnasharragh,Cregagh
,,Hillfoot
,,Merok
,,Orangefield
,,Ravenhill
,,Rosetta
,Ormiston,Belmont
,,Garnerville
,,Gilnahirk
,,Knock
,,Sandown
,,Shandon
,,Stormont
,Titanic,Ballymacarrett
,,Beersbridge
,,Bloomfield
,,Connswater
,,Sydenham
,,Woodstock
Causeway Coast and Glens,The Glens,Ballycastle
,,Kinbane
,,Loughguile and Stranocum
,,Lurigethan
,,Torr Head and Rathlin
,Causeway,Atlantic
,,Dervock
,,Dundooan
,,Giant’s Causeway
,,Hopefield
,,Portrush and Dunluce
,,Portstewart
,Ballymoney,Ballymoney East
,,Ballymoney North
,,Ballymoney South
,,Clogh Mills
,,Dunloy
,,Rasharkin
,,Route
,Coleraine,Churchland
,,Mountsandel
,,Quarry
,,University
,,Waterside
,,Windy Hall
,Bann,Aghadowey
,,Castlerock
,,Garvagh
,,Kilrea
,,Macosquin
,Benbradagh,Altahullion
,,Ballykelly
,,Dungiven
,,Feeny
,,Greysteel
,Limavady,Coolessan
,,Drumsurn
,,Greystone
,,Magilligan
,,Roeside
Derry and Strabane,Ballyarnett,Carn Hill
,,Culmore
,,Galliagh
,,Shantallow
,,Shantallow East
,,Skeoge
,Foyleside,Ballymagroarty
,,Foyle Springs
,,Madam’s Bank
,,Northland
,,Springtown
,The Moor,Brandywell
,,City Walls
,,Creggan
,,Creggan South
,,Sheriff’s Mountain
,Waterside,Caw
,,Clondermot
,,Drumahoe
,,Ebrington
,,Kilfennan
,,Lisnagelvin
,,Victoria
,Faughan,Claudy
,,Eglinton
,,Enagh
,,New Buildings
,,Slievekirk
,Sperrin,Artigarvan
,,Ballycolman
,,Dunnamanagh
,,Glenelly Valley
,,Park
,,Strabane North
,,Strabane West
,Derg,Castlederg
,,Finn
,,Glenderg
,,Newtownstewart
,,Sion Mills
Fermanagh and Omagh,Erne West,Belcoo and Garrison
,,"Boho, Cleenish and Letterbreen"
,,Derrygonnelly
,,Derrylin
,,Florence Court and Kinawley
,Erne North,Ballinamallard
,,Belleek and Boa
,,Ederney and Kesh
,,Irvinestown
,,Tempo
,Enniskillen,Castlecoole
,,Erne
,,Lisbellaw
,,Lisnarrick
,,Portora
,,Rossorry
,West Tyrone,Dromore
,,Drumquin
,,Fairy Water
,,Fintona
,,Newtownsaville
,,Trillick
,Omagh,Camowen
,,Coolnagard
,,Dergmoney
,,Gortrush
,,Killyclogher
,,Strule
,Mid Tyrone,Beragh
,,Drumnakilly
,,Gortin
,,Owenkillew
,,Sixmilecross
,,Termon
,Erne East,Brookeborough
,,Donagh
,,Lisnaskea
,,Maguiresbridge
,,Newtownbutler
,,Rosslea
Lisburn and Castlereagh,Killultagh,Ballinderry
,,Glenavy
,,Maghaberry
,,Stonyford
,,White Mountain
,Lisburn South,Ballymacash
,,Ballymacoss
,,Knockmore
,,Lagan Valley
,,Lisnagarvey
,,Old Warren
,Downshire East,Ballymacbrennan
,,Dromara
,,Drumbo
,,Hillhall
,,Ravernet
,Downshire West,Blaris
,,Hillsborough
,,Lagan
,,Maze
,,Moira
,Lisburn North,Derryaghy
,,Harmony Hill
,,Hilden
,,Lambeg
,,Magheralave
,,Wallace Park
,Castlereagh South,Beechill
,,Cairnshill
,,Carryduff East
,,Carryduff West
,,Galwally
,,Knockbracken
,,Newtownbreda
,Castlereagh East,Ballyhanwood
,,Carrowreagh
,,Dundonald
,,Enler
,,Graham’s Bridge
,,Moneyreagh
Mid and East Antrim,Knockagh,Burleigh Hill
,,Gortalee
,,Greenisland
,,Sunnylands
,,Woodburn
,Carrick Castle,Boneybefore
,,Castle
,,Kilroot
,,Love Lane
,,Victoria
,Larne Lough,Ballycarry and Glynn
,,Curran and Inver
,,Islandmagee
,,Kilwaughter
,,Whitehead South
,Coast Road,Cairncastle
,,Carnlough and Glenarm
,,Craigyhill
,,Gardenmore
,,The Maidens
,Braid,Ballee and Harryville
,,Broughshane
,,Glenravel
,,Glenwhirry
,,Kells
,,Kirkinriola
,,Slemish
,Ballymena,Academy
,,Ardeevin
,,Ballykeel
,,Braidwater
,,Castle Demesne
,,Fair Green
,,Park
,Bannside,Ahoghill
,,Cullybackey
,,Galgorm
,,Grange
,,Maine
,,Portglenone
Mid Ulster,Carntogher,Lower Glenshane
,,Maghera
,,Swatragh
,,Tamlaght O’Crilly
,,Valley
,Moyola,Ballymaguigan
,,Bellaghy
,,Castledawson
,,Draperstown
,,Tobermore
,Magherafelt,Coolshinny
,,Glebe
,,Lissan
,,The Loup
,,Town Parks East
,Cookstown,Coagh
,,Cookstown East
,,Cookstown South
,,Cookstown West
,,Loughry
,,Oaklands
,,Pomeroy
,Torrent,Ardboe
,,Coalisland North
,,Coalisland South
,,Donaghmore
,,Stewartstown
,,Washing Bay
,Dungannon,Ballysaggart
,,Killyman
,,Killymeal
,,Moy
,,Moygashel
,,Mullaghmore
,Clogher Valley,Augher and Clogher
,,Aughnacloy
,,Ballygawley
,,Caledon
,,Castlecaulfield
,,Fivemiletown
"Newry, Mourne and Down",Slieve Gullion,Bessbrook
,,Camlough
,,Crossmaglen
,,Forkhill
,,Mullaghbane
,,Newtownhamilton
,,Whitecross
,Newry,Abbey
,,Ballybot
,,Damolly
,,Drumalane
,,Fathom
,,St. Patrick’s
,Crotlieve,Burren
,,Derryleckagh
,,Hilltown
,,Mayobridge
,,Rostrevor
,,Warrenpoint
,The Mournes,Annalong
,,Binnian
,,Donard
,,Kilkeel
,,Lisnacree
,,Murlough
,,Tollymore
,Slieve Croob,Ballydugan
,,Ballyward
,,Castlewellan
,,Drumaness
,,Dundrum
,Downpatrick,Cathedral
,,Knocknashinna
,,Lecale
,,Quoile
,,Strangford
,Rowallane,Ballynahinch
,,Crossgar and Killyleagh
,,Derryboy
,,Kilmore
,,Saintfield
North Down and Ards,Ards Peninsula,Ballywalter
,,Carrowdore
,,Kircubbin
,,Loughries
,,Portaferry
,,Portavogie
,Comber,Ballygowan
,,Comber North
,,Comber South
,,Comber West
,,Killinchy
,Newtownards,Conway Square
,,Cronstown
,,Glen
,,Gregstown
,,Movilla
,,Scrabo
,,West Winds
,Bangor East and Donaghadee,Ballycrochan
,,Ballymagee
,,Donaghadee
,,Groomsport
,,Silverbirch
,,Warren
,Bangor Central,Ballygrainey
,,Ballyholme
,,Bloomfield
,,Broadway
,,Castle
,,Harbour
,Bangor West,Bryansburn
,,Kilcooley
,,Rathgael
,,Rathmore
,,Silverstream
,Holywood and Clandeboye,Clandeboye
,,Cultra
,,Helen’s Bay
,,Holywood
,,Loughview
