Antrim and Newtownabbey,Dunsilly,Cranfield
,,Parkgate
,,Randalstown
,,Shilvodan
,,Toome
,Antrim,Antrim Centre
,,Fountain Hill
,,Greystone
,,Springfarm
,,Steeple
,,Stiles
,Airport,Aldergrove
,,Clady
,,Crumlin
,,Mallusk
,,Templepatrick
,Ballyclare,Ballyclare East
,,Ballyclare West
,,Ballynure
,,Ballyrobert
,,Doagh
,Three Mile Water,Ballyduff
,,Fairview
,,Jordanstown
,,Monkstown
,,Mossley
,,Rostulla
,Macedon,Abbey
,,Carnmoney Hill
,,O’Neill
,,Rathcoole
,,Valley
,,Whitehouse
,Glengormley Urban,Ballyhenry
,,Burnthill
,,Carnmoney
,,Collinbridge
,,Glebe
,,Glengormley
,,Hightown
"Armagh, Banbridge and Craigavon",Armagh,Blackwatertown
,,Cathedral
,,Demesne
,,Keady
,,Navan
,,The Mall
,Cusher,Hamiltonsbawn
,,Markethill
,,Richhill
,,Seagahan
,,Tandragee
,Portadown,Ballybay
,,Corcrain
,,Killycomain
,,Loughgall
,,Mahon
,,The Birches
,Craigavon,Bleary
,,Brownlow
,,Craigavon Centre
,,Derrytrasna
,,Kernan
,Lurgan,Aghagallon
,,Knocknashane
,,Lough Road
,,Magheralin
,,Mourneview
,,Parklake
,,Shankill
,Lagan River,Donaghcloney
,,Dromore
,,Gransha
,,Quilly
,,Waringstown
,Banbridge,Banbridge East
,,Banbridge North
,,Banbridge South
,,Banbridge West
,,Gilford
,,Loughbrickland
,,Rathfriland
Belfast,Castle,Bellevue
,,Cavehill
,,Chichester Park
,,Duncairn
,,Fortwilliam
,,Innisfayle
,Oldpark,Ardoyne
,,Ballysillan
,,Cliftonville
,,Legoniel
,,New Lodge
,,Water Works
,Court,Ballygomartin
,,Clonard
,,Falls
,,Forth River
,,Shankill
,,Woodvale
,Black Mountain,Andersonstown
,,Ballymurphy
,,Beechmount
,,Collin Glen
,,Falls Park
,,Shaw’s Road
,,Turf Lodge
,Collin,Dunmurry
,,Ladybrook
,,Lagmore
,,Poleglass
,,Stewartstown
,,Twinbrook
,Balmoral,Belvoir
